index	trigger	syllables	flag	preview
195	verse-stanza	29		ཕྱག་འཚལ་ལྷ་ཡི་མཚོ་ཡི་རྣམ་པའི། །↵རི་དྭགས་རྟགས་ཅན་ཕྱག་ན་བསྣམས་མ། །↵ཏཱ་ར་གཉིས་བརྗོད
196	line-end	150		ཞེས་གང་ལ་ཕྱག་འཚལ་ན། དུག་རིགས་རྣམས་ཞི་ཞིང་སྲུང་བའི་སྒྲོལ་མ་རྨ་བྱ་ཆེན་མོ་དེ་ནི་སྐུ
197	line-end	9		བསྟོད་འགྲེལ་འདོད་རྒུའི་ཕྲིན་ལས་དཔལ་སྟེར། ཡིན་།།
198	verse-stanza	28		ཕྱག་འཚལ་ལྷ་ཡི་ཚོགས་རྣམས་རྒྱལ་པོ། །↵ལྷ་དང་མིའམ་ཅི་ཡིས་བསྟེན་མ།↵ཀུན་ནས་གོ་ཆ་དགའ་བ་
199	line-end	147		ཞེས་གང་ལ་ཕྱག་འཚལ་ན། རྩོད་དང་རྨི་ལམ་ངན་པ་སེལ་བའི་སྒྲོལ་མ་མི་ཕམ་རྒྱལ་མོ་ལ དེ་ནི་སྐ
200	verse-stanza	21		ཕྱག་འཚལ་ཉི་མ་ཟླ་བ་རྒྱས་པའི། །↵སྤྱན་གཉིས་པོ་ལ་འོད་རབ་གསལ་མ།↵ཧ་ར་གཉིས་བརྗོད་ཏུཏྟཱ་
201	line-end	67		ཤིན་ཏུ་དྲག་པོའི་རིམས་ནད་སེལ་མ།། ཞེས་གང་ལ་ཕྱག་འཚལ་ན་རིམས་ནད་སེལ་བའི་ལྷ་མོ་སྒྲོལ་མ
202	line-end	107		ཚོགས་གཉིས་རྒྱ་མཚོར་འཇུག་པའི་གྲུ་གཟིངས། གཡས་ཉི་མའི་སྤྱན་ལས་འོད་ཟེར་ཚྭ་ཞིང་རབ་ཏུ་འ
203	verse-stanza	29		ཕྱག་འཚལ་དེ་ཉིད་གསུམ་རྣམས་བཀོད་པའི། །↵ཞི་བའི་མཐུ་དང་ཡང་དག་ལྡན་མ། །↵གདོན་དང་རོ་ལངས
204	line-end	164		ཞེས་གང་ལ་ཕྱག་འཚལ་། ནད་པའི་བླ་ཚེ་བསླུ་བར་བྱེད་པ་སྒྲོལ་མ་འོད་ཟེར་ཅན་མ་ལ ལྷ་མོ་དེ་ན
205	terminal-particle	101		བསྟོད་འགྲེལ་འདོད་རྒུའི་ཕྲིན་ལས་དཔལ་སྟེར། བཀུགས་ནས་དེ་དག་རྣམས་ཀྱིས་བསམ་སྦྱོར་ངན་པ
206	line-end	66		རྩ་བའི་སྔགས་ཀྱི་བསྟོད་པ་འདི་དང་། །ཕྱག་འཚལ་བ་ནི་ཉི་ཤུ་རྩ་གཅིག། ཞེས་གཞུང་དོན་བསྡུས
207	verse-stanza	34		སྔོན་བྱོན་དམ་པའི་གསུང་གི་སྒྲོན་མེ་དང་། །↵འགྲོགས་པའི་རྣམ་དཔྱོད་འོད་ཀྱི་དྲྭ་བ་ཅན། 
208	line-end	63		ཞེས་སྒྲོལ་མ་ཉེར་གཅིག་གི་བསྟོད་པའི་འགྲེལ་བ་འདོད་རྒུའི་ཕྲིན་ལས་དཔལ་སྟེར་ཞེས་བྱ་བ་འ
209	line-end	32		༄༅། །རྗེ་བཙུན་སྒྲོལ་མ་ལ་གསོལ་བ་བཏབས་པས་འཇིགས་པ་ལས་བསྐྱབས་པའི་གཏམ་ཐོར་བུ་འགའ་ཕྱོག
210	line-end	10		འཇིགས་པ་ལས་བསྐྱབས་པའི་གཏམ་དད་པའི་རྔ་སྒྲ།
211	line-end	1		༄༅། །
212	verse-stanza	32		རབ་འབྱམས་རྒྱལ་བའི་ཕྲིན་ལས་མ་ལུས་ཀུན།།↵གཅིག་ཏུ་བསྡུས་པ་ཨརྱ་ཏཱ་རེའི་ཞབས།།↵མི་ཕྱེད་
213	line-end	197		དེ་ལ་འདིར་འཕགས་མའི་ཞབས་ལ་གསོལ་བ་བཏབས་པས་འཇིགས་པ་རྣམས་ལས་བསྐྱབས་པའི་ལོ་རྒྱུས་ཡིད་
214	terminal-particle	185		ཚོགས་གཉིས་རྒྱ་མཚོར་འཇུག་པའི་གྲུ་གཟིངས། གེའི་ཚང་དང་ཉེ་བར་སླེབས་པ་ན། སྒྲོལ་མ་ལ་གསོ
215	line-end	69		༥༽ དུག་སྦྲུལ་གྱི་འཇིགས་པ་ལས་བསྐྱབས་པ་ནི། སྔོན་གྲོང་ཁྱེར་ཞིག་ན་སྨད་ཚོང་མ་ཞིག་ཡོད་
216	quote-open	249		འཇིགས་པ་ལས་བསྐྱབས་པའི་གཏམ་དད་པའི་རྔ་སྒྲ། ནས་གསོལ་བ་བཏབས་པས་སྦྲུལ་གྱི་འཇིགས་པ་ལས་
217	line-end	23		དེ་དག་ཚོང་སོགས་བྱ་བ་གཞན་ལས་རྐུ་བྱེད་པའི་ལས་སྤངས་ནས་དགེ་བ་རྒྱ་ཆེན་པོ་བྱེད་པ་བྱུང་
218	line-end	292		ཚོགས་གཉིས་རྒྱ་མཚོར་འཇུག་པའི་གྲུ་གཟིངས། ༨༽ རྒྱ་མཚོའི་ཆུ་ཡི་འཇིགས་པ་ལས་བསྐྱབས་པ་ནི
219	terminal-particle	17		འཇིགས་པ་ལས་བསྐྱབས་པའི་གཏམ་དད་པའི་རྔ་སྒྲ། དགོན་པ་དེར་གནོད་པའི་རྒྱུན་ཆད་དོ།།
220	line-end	242		༡༠༽ མཛེ་ནད་ཀྱི་འཇིགས་པ་ལས་བསྐྱབས་པ་ནི། སྔོན་བྲམ་ཟེའི་སློབ་དཔོན་ཞིག་ལ་མཛེ་སྙུང་བས
221	line-end	268		ཚོགས་གཉིས་རྒྱ་མཚོར་འཇུག་པའི་གྲུ་གཟིངས། ༡༢༽ དབུལ་བའི་འཇིགས་པ་ལས་བསྐྱབས་པ་ནི། སྔོན
222	line-end	264		འཇིགས་པ་ལས་བསྐྱབས་པའི་གཏམ་དད་པའི་རྔ་སྒྲ། པ་ཞིག་ཡོད་པས། ཡུལ་དེའི་རྒྱལ་པོ་མ་དགའ་ནས
223	line-end	259		ཚོགས་གཉིས་རྒྱ་མཚོར་འཇུག་པའི་གྲུ་གཟིངས། འདི་སྐད་བཤད། ཕ་རོལ་པོའི་དམག་རྣམས་ནི་སྔར་ད
224	terminal-particle	56		འཇིགས་པ་ལས་བསྐྱབས་པའི་གཏམ་དད་པའི་རྔ་སྒྲ། འདོན་པར་ཉལ་དུ་ཆུག་ཟེར། དེ་ལྟར་ཡང་གཅིག་ག
225	line-end	220		༢༠༽ སྔོན་ཞིག་ཡུལ་གྲུ་ཞིག་ན་ཆུ་ལས་བརྒལ་བའི་ཟམ་པ་ཞིག་ཡོད་པས་དེར་འདྲེ་དང་གདོན་གྱི་ར
226	terminal-particle	229		ཚོགས་གཉིས་རྒྱ་མཚོར་འཇུག་པའི་གྲུ་གཟིངས། ཁྱེར་ཡོང་བ་ཟོས། དུས་ཡུན་རིང་ཙམ་ནས་སྟག་ཕྲུ
227	line-end	28		༢༤༽ སྔོན་རྒྱལ་པོ་ཞིག་ལ་བཙུན་མོ་སྔོན་མ་བླངས་ནས་ཡུན་རིང་སོང་ཡང་བུ་མ་སྐྱེས དེ་རྗེས་
228	quote-open	99		འཇིགས་པ་ལས་བསྐྱབས་པའི་གཏམ་དད་པའི་རྔ་སྒྲ། རིགས་བརྒྱུད་མ་སྐྱེས་པས་རྒྱལ་པོ་དང་བློན་
229	terminal-particle	133		ཕྱིས་རྒྱལ་བུ་དེ་སྟོབས་དང་བསོད་ནམས་མངའ་ཐང་ཆེ་བའི་རྒྱལ་པོར་གྱུར ༢༥༽ སྔོན་བོད་ཤར་ཕྱ
230	line-end	45		༢༦༽ ཡང་བོད་ཤར་ཕྱོགས་ནས་དགེ་སློང་ཞིག་ནད་ཀྱིས་མནར་སྨན་པ་མང་པོ་ཞིག་ལ་བསྟེན་ཀྱང་དྲག་
